"","ICC.a","ICC.c","ICCk.a","ICCk.c","sigma2_b","sigma2_w","sigma2_rep","var.data","error.message"
"Left.I.V",0.944567372911241,0.945781844897577,0.993521606434913,0.993670728150559,0.039752734335923,0.00227887638951653,5.40418981541794e-05,0.0509091078562648,0
"Right.I.V",0.926946357755193,0.933525081022642,0.991319229147684,0.992150053861603,0.0533082882550125,0.00379600314400942,0.000405280550869951,0.0714370449772388,0
"Left.VI",0.941739099308454,0.941739099308454,0.993173014290782,0.993173014290782,0.0475596853617366,0.00294229060661919,0,0.0594994196907488,0
"Right.VI",0.950201588639506,0.954469680669247,0.994210572709497,0.99472769822232,0.0458771163997942,0.00218844013797497,0.000215899679832857,0.0485873846387213,0
"Left.Crus.I",0.925291487681879,0.934873696420146,0.991108597804238,0.992319096157421,0.0522039524979168,0.00363669495833121,0.000578279112181445,0.0488200148836956,0
"Right.Crus.I",0.853784587798064,0.932298442121625,0.981326916307133,0.991995926223238,0.0369848129043171,0.00268575955759866,0.00364809764865868,0.0372485289078493,0
"Left.Crus.II",0.844947938305842,0.844947938305849,0.980017991743328,0.980017991743328,0.0513006600437169,0.00941392095943531,4.37987840589756e-16,0.0509593546779785,0
"Right.Crus.II",0.830381144333242,0.830381144333242,0.977807436242483,0.977807436242483,0.0519516782569813,0.0106119753272967,0,0.0611214690970545,0
"Left.VIIB",0.755087769694492,0.756238508730834,0.965214800338816,0.965423451078495,0.0411659069087645,0.0132691773054097,8.29580068250548e-05,0.0535910625869303,0
"Right.VIIB",0.926639331039061,0.933581820948973,0.991280200968656,0.992157174611278,0.0575571936164172,0.00409481408646533,0.000461904030042794,0.0546040510232773,0
"Left.VIIIA",0.854196882466486,0.854196882466486,0.981387410419668,0.981387410419668,0.0533044284503274,0.00909854859685091,0,0.0597246161119496,0
"Right.VIIIA",0.671604196332017,0.680117350793541,0.948469421015466,0.950336021064014,0.0186280897316271,0.00876143313511401,0.000347185500128627,0.0294520205967912,0
"Left.VIIIB",0.828670729233675,0.828670729233675,0.977543445353514,0.977543445353514,0.0446718329637834,0.00923598758285795,0,0.0486769702553313,0
"Right.VIIIB",0.867560578965222,0.867560578965222,0.983320990194265,0.983320990194265,0.0602175282786184,0.00919264288250391,0,0.0578004561607132,0
"Left.IX",0.919261407082236,0.923311795923653,0.990335442786381,0.990855749647368,0.0481929940674411,0.00400280184918127,0.000229981665411836,0.0437426709118414,0
"Right.IX",0.908426334911386,0.908426334911386,0.988923537412022,0.988923537412022,0.0442612904534732,0.0044617471253424,0,0.0412480542865593,0
"Left.X",0.458919450068602,0.458919450068602,0.884170550007405,0.884170550007405,0.019469573827615,0.0229552434790051,0,0.0436113075361712,0
"Right.X",0.856321447779064,0.873858099629181,0.981698332316833,0.984214236684664,0.0626473413030457,0.00904317839303528,0.00146815391360897,0.066667271530862,0
